model,accuracy,duration_s,emissions_kg
LogReg,0.9210526315789473,0.02480220000143163,3.2281897340582772e-06
SVM,0.9473684210526315,0.003828800021437928,5.356687166214317e-08
RandomForest,0.8947368421052632,0.3405431999999564,3.0436240162865236e-06
MLP,0.9210526315789473,0.1749718000064604,2.800035934409709e-06
