timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-10-03T10:51:53,ex3_train_compare,efa1735a-a3e9-4f30-9f6a-1dc284fb0cfb,cpu,2.4483076999895275,2.593486745284214e-06,1.059297712168821e-06,42.5,18.04393436428201,10.0,2.882191569398048e-05,1.0680564100008784e-05,6.777552777687864e-06,4.628003257167712e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T10:51:59,ex3_train_compare,f9fafbb7-62f8-4817-a023-64cb85884112,gpu,0.8763609000016004,1.089087894174899e-06,1.2427390292890864e-06,42.5,27.44747716536149,10.0,1.0330692222022562e-05,6.6741720060048415e-06,2.429599166660208e-06,1.943446339468761e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T10:59:33,ex3_train_compare,e49648c6-aee1-4032-bf1a-ca9b873f6258,cpu,1.854120600008173,1.876993616018604e-06,1.0123363151298412e-06,42.5,12.07211425435451,10.0,2.1837988680373303e-05,6.520282993999205e-06,5.136145000061435e-06,3.3494416674433944e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T10:59:39,ex3_train_compare,7e8fbcdf-6d4b-4100-a6d1-afac4000792b,gpu,0.78980210001464,8.834708495716986e-07,1.118597746898017e-06,42.5,19.4795479380895,10.0,9.308432639004928e-06,4.267781192002218e-06,2.1890719444652657e-06,1.576528577547241e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T11:03:35,ex3_train_compare,7714aa6f-7f86-4243-8111-b4dd47f3953e,cpu,2.8060572000104003,2.711683117290861e-06,9.663677266738577e-07,42.5,10.350172660312248,10.0,3.300967680584614e-05,7.618061650005448e-06,7.761474722307563e-06,4.8389213178159147e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T11:03:41,ex3_train_compare,1000bd7a-1e1c-44f9-b124-0e6a10340d7a,gpu,1.372066600015387,1.6518576870107518e-06,1.2039194649824048e-06,42.5,29.015221033322177,10.0,1.6154061110965912e-05,9.525563176002172e-06,3.79730583331871e-06,2.94769301202868e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T11:04:57,ex3_train_compare,7d798e33-0161-4d50-9c51-480eb955d374,cpu,1.818724599987036,1.7875552925702714e-06,9.828619971286546e-07,42.5,12.28575617303284,10.0,2.141887729139853e-05,5.44278213200633e-06,5.036755833296209e-06,3.189841525670107e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T11:05:04,ex3_train_compare,6e6877b2-042b-4471-9278-cb4744c46f43,gpu,0.7761207000003196,9.174629329144302e-07,1.1821137265299744e-06,42.5,23.587612480726737,10.0,9.144818263666822e-06,5.0763929499986205e-06,2.150653611089284e-06,1.6371864824754727e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T12:39:21,ex3_train_compare,d0a08e7d-a819-49a9-8936-493817854ca8,cpu,6.331891600013478,6.5993291580448535e-06,1.0422365976749834e-06,42.5,43.4369674808332,10.0,7.428215520867526e-05,2.6020854149995387e-05,1.7460140555582864e-05,0.0001177631499142,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
2025-10-03T12:39:29,ex3_train_compare,3dd3ab14-8556-4556-b52a-9128a19edfdd,gpu,1.907715500012273,2.0931810700657055e-06,1.0972186733568183e-06,42.5,19.651245606751434,10.0,2.240766694463269e-05,9.675563296007716e-06,5.268990000008166e-06,3.735222024064857e-05,France,FRA,île-de-france,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.5,16,12th Gen Intel(R) Core(TM) i7-12650H,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,2.3494,48.8558,15.727043151855469,machine,N,1.0
